Sat Jul 29 00:57:51 2017, Exiting Thread
Sun Jul 30 03:07:53 2017, Clear
Sun Jul 30 04:07:05 2017, Partly Cloudy
Sun Jul 30 05:07:09 2017, Partly Cloudy
Sun Jul 30 06:07:13 2017, Mostly Cloudy
Sun Jul 30 07:07:17 2017, Mostly Cloudy
Sun Jul 30 08:07:21 2017, Partly Cloudy
Sun Jul 30 09:07:25 2017, Partly Cloudy
Sun Jul 30 10:07:29 2017, Partly Cloudy
Sun Jul 30 11:07:34 2017, Partly Cloudy
Sun Jul 30 12:07:38 2017, Partly Cloudy
Sun Jul 30 12:59:54 2017, Partly Cloudy
Sun Jul 30 13:18:53 2017, Partly Cloudy
Sun Jul 30 13:22:27 2017, Partly Cloudy
Sun Jul 30 13:31:34 2017, Partly Cloudy
Sun Jul 30 14:31:38 2017, Partly Cloudy
Sun Jul 30 15:31:42 2017, Mostly Cloudy
Sun Jul 30 16:31:46 2017, Partly Cloudy
Sun Jul 30 17:31:50 2017, Partly Cloudy
Sun Jul 30 18:31:54 2017, Clear
Sun Jul 30 19:31:59 2017, Clear
Sun Jul 30 20:32:03 2017, Clear
Sun Jul 30 21:32:07 2017, Clear
Sun Jul 30 22:32:11 2017, Clear
Sun Jul 30 23:32:15 2017, Clear
Mon Jul 31 00:32:20 2017, Clear
Mon Jul 31 01:32:24 2017, Partly Cloudy
Mon Jul 31 02:32:28 2017, Partly Cloudy
Mon Jul 31 03:32:34 2017, Partly Cloudy
Mon Jul 31 04:32:38 2017, Partly Cloudy
Mon Jul 31 05:32:42 2017, Partly Cloudy
Mon Jul 31 06:32:46 2017, Partly Cloudy
Mon Jul 31 07:32:50 2017, Clear
Mon Jul 31 08:32:56 2017, Clear
Mon Jul 31 09:33:00 2017, Clear
Mon Jul 31 10:33:04 2017, Clear
Mon Jul 31 11:33:08 2017, Clear
Mon Jul 31 12:33:12 2017, Partly Cloudy
Mon Jul 31 13:33:16 2017, Partly Cloudy
Mon Jul 31 14:33:21 2017, Partly Cloudy
Mon Jul 31 15:33:25 2017, Clear
Mon Jul 31 16:33:29 2017, Partly Cloudy
Mon Jul 31 17:33:33 2017, Partly Cloudy
Mon Jul 31 18:33:37 2017, Partly Cloudy
Mon Jul 31 19:33:42 2017, Partly Cloudy
Mon Jul 31 20:33:46 2017, Clear
Mon Jul 31 21:33:50 2017, Clear
Mon Jul 31 22:33:54 2017, Clear
Mon Jul 31 23:33:58 2017, Clear
Tue Aug  1 00:34:04 2017, Clear
Tue Aug  1 01:34:08 2017, Clear
Tue Aug  1 02:34:12 2017, Clear
Tue Aug  1 03:34:16 2017, Clear
Tue Aug  1 04:34:21 2017, Clear
Tue Aug  1 05:34:25 2017, Clear
Tue Aug  1 06:34:29 2017, Clear
Tue Aug  1 07:34:33 2017, Clear
Tue Aug  1 08:34:37 2017, Clear
Tue Aug  1 09:34:41 2017, Clear
Tue Aug  1 10:34:46 2017, Clear
Tue Aug  1 11:34:50 2017, Partly Cloudy
Tue Aug  1 12:34:54 2017, Mostly Cloudy
Tue Aug  1 13:34:58 2017, Mostly Cloudy
Tue Aug  1 14:35:02 2017, Partly Cloudy
Tue Aug  1 15:35:07 2017, Partly Cloudy
Tue Aug  1 16:35:11 2017, Mostly Cloudy
Tue Aug  1 17:35:15 2017, Partly Cloudy
Tue Aug  1 18:35:19 2017, Mostly Cloudy
Tue Aug  1 19:35:23 2017, Partly Cloudy
Tue Aug  1 20:35:27 2017, Clear
Tue Aug  1 21:35:32 2017, Partly Cloudy
Tue Aug  1 22:35:36 2017, Clear
Tue Aug  1 23:35:40 2017, Partly Cloudy
Wed Aug  2 00:35:44 2017, Clear
Wed Aug  2 01:35:48 2017, Partly Cloudy
Wed Aug  2 02:35:52 2017, Clear
Wed Aug  2 03:35:57 2017, Partly Cloudy
Wed Aug  2 04:36:01 2017, Mostly Cloudy
Wed Aug  2 05:36:05 2017, Partly Cloudy
Wed Aug  2 06:36:10 2017, Partly Cloudy
Wed Aug  2 07:36:14 2017, Partly Cloudy
Wed Aug  2 08:36:18 2017, Partly Cloudy
Wed Aug  2 09:36:23 2017, Partly Cloudy
Wed Aug  2 10:36:27 2017, Mostly Cloudy
Wed Aug  2 11:36:31 2017, Partly Cloudy
Wed Aug  2 12:36:35 2017, Mostly Cloudy
Wed Aug  2 13:36:40 2017, Rain
Wed Aug  2 14:36:44 2017, Rain
Wed Aug  2 15:36:48 2017, Rain
Wed Aug  2 16:36:52 2017, Overcast
Wed Aug  2 17:36:56 2017, Rain
Wed Aug  2 18:37:01 2017, Rain
Wed Aug  2 19:37:06 2017, Mostly Cloudy
Wed Aug  2 20:37:10 2017, Partly Cloudy
Wed Aug  2 21:37:14 2017, Mostly Cloudy
Wed Aug  2 22:37:18 2017, Mostly Cloudy
Wed Aug  2 23:37:22 2017, Partly Cloudy
Thu Aug  3 00:15:42 2017, Partly Cloudy
Thu Aug  3 00:17:17 2017, Partly Cloudy
